Method,Mean_RMSE,Std
Mean,1.1007537851405398,0.02647962951401012
Median,1.1416352942469754,0.021899214294221744
kNN-5,1.183107535609923,0.03421859324491456
kNN-10,1.1319104366634098,0.03162063626760609
Iterative (MICE-like),4.552682794698734,0.2413602977829688
Matrix Factorization,0.9131712939376792,0.018305675272660662
